Kepler_OI_Name,Number_of_Planets,Planet_Radius_Earth,Equalibrium_Temp_K,Orbit_Period_Days,Star_Radius_Sun,Star_Temp_K,Star_Mass_Sun,Star_Surface_Gravity,Planet_Star_Radius_Ratio,Status
K03041.01,1,1.15,1183.0,5.08288076,1.083,6217.0,1.011,4.375,0.009687,2
K03042.01,1,1.91,595.0,31.0259489,0.969,6075.0,1.048,4.486,0.018009,2
K03043.01,2,1.07,1361.0,3.08942807,1.103,6137.0,1.165,4.418,0.008903,2
K03128.01,1,2.62,1048.0,21.2360024,2.559,6035.0,1.328,3.745,0.009391,2
K00396.01,1,36.85,879.0,14.59150445,1.312,5940.0,0.993,4.199,0.257211,2
K03050.01,1,1.02,1487.0,1.242639742,0.818,5520.0,0.917,4.572,0.011446,2
K03132.01,1,1.35,3195.0,0.536650319,2.0,6020.0,1.22,3.922,0.006191,2
K02971.01,2,1.26,1259.0,6.09595681,1.467,6313.0,1.325,4.228,0.007881,2
K02972.01,2,1.98,850.0,13.2511214,1.217,5850.0,1.072,4.297,0.014901,2
K03051.01,2,1.45,802.0,11.682369,0.889,6089.0,0.971,4.527,0.014968,2
K03052.01,2,0.78,736.0,10.12956201,0.842,5383.0,0.874,4.528,0.008451,2
K03052.02,2,0.91,637.0,15.6112238,0.842,5383.0,0.874,4.528,0.009854,2
K02976.01,1,1.94,503.0,21.61313362,0.632,5267.0,0.701,4.681,0.028166,2
K03142.01,1,2.21,718.0,27.9430245,1.25,6468.0,1.313,4.363,0.016161,2
K03145.01,2,1.66,798.0,4.53702121,0.688,4805.0,0.769,4.633,0.022053,2
K03145.02,2,1.06,1331.0,0.977311489,0.688,4805.0,0.769,4.633,0.014052,2
K03061.01,2,2.33,807.0,7.32851947,0.874,5135.0,0.812,4.464,0.024449,2
K03065.01,1,1.0,1810.0,0.896382269,0.843,5837.0,0.824,4.502,0.010913,2
K02984.01,1,1.12,975.0,11.45541896,1.356,6231.0,1.269,4.276,0.007587,2
K03429.04,4,1.85,538.0,44.433726,1.145,5596.0,0.95,4.298,0.01478,2
K03068.01,2,0.85,851.0,3.91679553,0.686,4889.0,0.759,4.637,0.011285,2
K03069.01,1,1.88,539.0,43.1024434,1.097,5741.0,1.017,4.365,0.015664,2
K02243.03,3,4.55,721.0,31.4452709,1.471,6172.0,1.25,4.198,0.028295,2
K02924.02,2,1.88,714.0,8.85686712,0.797,5017.0,0.76,4.516,0.021548,2
K00350.01,1,2.02,790.0,12.99065074,1.027,5787.0,0.971,4.402,0.018005,2
K02992.01,1,2.03,233.0,82.6595174,0.553,3952.0,0.572,4.716,0.033535,2
K03072.01,1,1.95,526.0,24.3367026,0.806,5141.0,0.758,4.505,0.022134,2
K03073.01,1,1.18,818.0,7.40985182,0.836,5462.0,0.926,4.56,0.012934,2
K02263.03,3,1.08,801.0,15.5943758,1.076,6249.0,1.13,4.428,0.009192,2
K02926.05,5,3.47,237.0,75.731195,0.564,3891.0,0.605,4.718,0.056351,2
K00353.01,3,11.58,458.0,152.1060435,1.64,6200.0,1.158,4.072,0.064635,2
K02264.02,2,0.91,807.0,7.25101997,0.827,5382.0,0.928,4.571,0.010066,2
K00298.02,2,1.62,397.0,57.3840375,0.79,5250.0,0.79,4.541,0.018721,2
K04146.02,2,0.57,1129.0,2.5738437,0.854,5115.0,0.798,4.477,0.006083,2
K01236.04,4,4.13,552.0,98.353149,1.697,6366.0,1.164,4.045,0.022291,2
K03083.01,3,0.79,867.0,10.18318233,1.084,5843.0,1.131,4.421,0.006649,2
