Number of Planets,Planet-Star Radius Ratio,Orbit Period (Days),Planet Radius (Earth),Equalibrium Temp (K),Star Temp (K),Star Radius,Star Mass,Star Surface Gravity,Status
1,0.072584,23.02028478,7.58,604.0,5613.0,0.956,1.046,4.496,2
3,0.018507,4.72941177,1.22,669.0,4224.0,0.603,0.609,4.662,2
4,0.012345,0.708621057,1.2,1846.0,5422.0,0.887,0.874,4.484,2
1,0.105415,169.4976085,9.06,272.0,5270.0,0.787,0.9,4.592,2
1,0.122207,0.917568975,11.92,1748.0,5713.0,0.893,1.01,4.541,2
1,0.017502,7.79668781,2.44,1116.0,6521.0,1.276,1.334,4.352,2
2,0.013481,7.00447892,1.19,754.0,4883.0,0.808,0.779,4.515,2
1,0.123454,30.69395532,13.72,614.0,6137.0,1.018,1.086,4.46,2
1,0.168781,29.48106127,16.61,571.0,5631.0,0.901,0.762,4.41,2
1,0.029843,32.7737631,5.0,686.0,5640.0,1.534,1.023,4.076,2
1,0.113974,77.63424586,9.4,325.0,4812.0,0.755,0.734,4.548,2
1,0.014989,32.85862571,2.31,691.0,5899.0,1.414,0.995,4.135,2
1,0.006393,2.229326354,0.6,1273.0,5587.0,0.865,0.914,4.525,2
3,0.042132,73.7578875,4.28,375.0,5029.0,0.93,0.847,4.429,2
3,0.022272,8.56267266,2.26,768.0,5029.0,0.93,0.847,4.429,2
2,0.019651,17.79108667,2.88,830.0,5855.0,1.34,0.92,4.148,2
1,0.025655,63.0732241,17.8,1077.0,6234.0,6.354,2.382,3.209,2
1,0.040896,8.710442022,3.61,760.0,5416.0,0.809,0.9,4.575,2
2,0.015018,6.35585682,0.86,503.0,3706.0,0.522,0.555,4.747,2
2,0.058714,5.05821338,10.69,1168.0,4883.0,1.667,0.951,3.972,2
1,0.03465,4.22464216,4.31,1279.0,6343.0,1.14,1.213,4.408,2
1,0.026296,46.2991052,4.33,592.0,5396.0,1.507,0.898,4.035,2
1,0.018482,6.31219171,2.17,1096.0,6322.0,1.075,1.124,4.426,2
2,0.018911,86.049055,2.06,410.0,5733.0,0.997,0.981,4.432,2
4,0.01442,3.07644709,1.61,1253.0,5670.0,1.022,0.949,4.397,2
1,0.07733,5.007414194,8.8,1114.0,5957.0,1.042,1.034,4.417,2
1,0.024535,17.50441726,3.56,824.0,5815.0,1.329,0.933,4.16,2
1,0.021098,86.7490807,2.23,398.0,5579.0,0.97,0.901,4.419,2
1,0.077582,3.261759866,8.01,1262.0,6131.0,0.945,1.023,4.497,2
1,0.143383,20.92735802,17.36,735.0,6126.0,1.109,1.021,4.358,2
2,0.038187,92.7297248,2.81,276.0,4580.0,0.675,0.748,4.641,2
1,0.130484,30.5231459,11.26,506.0,5518.0,0.79,0.885,4.585,2
1,0.025875,28.78270955,2.11,443.0,4774.0,0.745,0.77,4.58,2
3,0.029574,4.539297295,2.34,830.0,4914.0,0.724,0.783,4.61,2
1,0.079644,124.0358994,11.13,413.0,5822.0,1.28,1.047,4.244,2
2,0.031398,10.84969477,2.67,676.0,5251.0,0.778,0.869,4.592,2
2,0.012008,17.1181036,1.22,654.0,5576.0,0.929,1.031,4.515,2
1,0.026936,8.29482811,2.76,876.0,5773.0,0.939,0.967,4.478,2
1,0.055757,10.24061136,3.9,656.0,5227.0,0.64,0.628,4.623,2
2,0.050285,23.11707222,4.37,548.0,5275.0,0.796,0.739,4.505,2
2,0.019883,4.77502117,1.73,926.0,5275.0,0.796,0.739,4.505,2
1,0.064358,5.69590202,6.61,1043.0,6106.0,0.94,1.013,4.497,2
4,0.011576,2.64622742,0.99,1082.0,5167.0,0.787,0.812,4.555,2
4,0.035078,6.69332825,2.44,609.0,4245.0,0.637,0.649,4.641,2
1,0.020385,29.0726293,2.32,614.0,5799.0,1.042,0.928,4.37,2
2,0.009946,6.6254781,0.9,828.0,5211.0,0.832,0.799,4.5,2
1,0.005021,1.34145255,1.31,3015.0,7495.0,2.389,1.754,3.926,2
1,0.040734,14.97974335,3.79,620.0,5062.0,0.853,0.803,4.481,2
2,0.008556,6.7445683,0.86,983.0,6106.0,0.923,0.974,4.496,2
1,0.050925,33.35859852,4.44,459.0,5009.0,0.799,0.763,4.515,2
3,0.012685,6.3143447,1.34,1012.0,6075.0,0.969,1.048,4.486,2
1,0.025724,78.7327023,7.76,761.0,6715.0,2.763,1.581,3.754,2
1,0.022832,42.3375799,1.45,311.0,4132.0,0.581,0.593,4.682,2
1,0.015647,1.834277283,1.64,1459.0,5751.0,0.958,0.962,4.458,2
1,0.400856,1.151244686,40.32,1756.0,6086.0,0.921,1.003,4.511,2
2,0.013564,2.42088277,2.27,1616.0,5583.0,1.53,1.017,4.077,2
1,0.048466,38.103908,4.08,456.0,5250.0,0.771,0.721,4.522,2
1,0.019344,5.24242029,3.86,1367.0,5383.0,1.829,0.813,3.824,2
1,0.033027,37.8034121,2.95,460.0,5329.0,0.819,0.912,4.572,2
1,0.022374,131.485184,3.03,400.0,5765.0,1.242,0.968,4.236,2
1,0.006003,16.2908527,0.52,622.0,5425.0,0.797,0.822,4.549,2
1,0.0198,147.281212,2.28,353.0,5708.0,1.054,0.939,4.365,2
3,0.012198,16.6671415,0.7,469.0,4729.0,0.525,0.534,4.726,2
1,0.023039,34.135676,13.98,1526.0,7818.0,5.555,2.607,3.365,2
2,0.286358,18.5084526,29.33,683.0,5942.0,0.938,1.028,4.506,2
2,0.015395,86.130534,1.47,391.0,5830.0,0.876,0.97,4.54,2
1,0.025894,8.46354384,2.51,805.0,5427.0,0.887,0.896,4.495,2
1,0.009675,176.331289,2.38,505.0,6146.0,2.251,1.166,3.8,2
2,0.0124,6.2141496,4.27,1506.0,5295.0,3.152,1.501,3.617,2
1,0.047823,17.65737838,2.45,350.0,3745.0,0.47,0.49,4.784,2
2,0.011117,7.5966998,1.32,964.0,5716.0,1.091,0.955,4.343,2
1,0.014218,1.204686597,1.55,1711.0,5780.0,1.0,1.0,4.438,2
3,0.021665,6.78341325,20.75,2628.0,5096.0,8.769,0.763,2.435,2
3,0.012454,6.95787,1.39,1047.0,6240.0,1.025,0.975,4.406,2
4,0.012848,9.4907638,1.05,704.0,5290.0,0.746,0.821,4.604,2
4,0.012566,0.76196247,1.08,1638.0,5167.0,0.787,0.812,4.555,2
4,0.004065,2.19251903,0.37,1225.0,5450.0,0.842,0.944,4.563,2
2,0.245914,39.7557642,13.72,325.0,4405.0,0.511,0.513,4.732,2
2,0.016888,10.27127527,0.94,510.0,4405.0,0.511,0.513,4.732,2
2,0.024893,20.6180348,1.57,359.0,3757.0,0.576,0.581,4.681,2
