Number of Planets,Planet-Star Radius Ratio,Orbit Period (Days),Planet Radius (Earth),Equalibrium Temp (K),Star Temp (K),Star Radius,Star Mass,Star Surface Gravity,Status
2,0.034654,190.3200468,7.78,426.0,5626.0,2.057,1.247,3.907,1
1,0.039171,2.861159894,4.37,1355.0,6126.0,1.021,1.09,4.458,0
4,0.038511,26.44439337,3.91,562.0,5427.0,0.929,0.915,4.463,1
4,0.05435,51.53997972,5.51,450.0,5427.0,0.929,0.915,4.463,1
4,0.023909,5.902245782,2.43,926.0,5427.0,0.929,0.915,4.463,1
4,0.018369,2.382951591,1.86,1253.0,5427.0,0.929,0.915,4.463,1
2,0.037466,21.02250608,3.07,521.0,5067.0,0.75,0.789,4.585,1
4,0.019702,3.219814777,1.69,998.0,5103.0,0.787,0.823,4.562,1
2,0.027826,5.912273234,1.73,585.0,4072.0,0.57,0.586,4.696,1
2,0.026527,8.98581901,1.65,509.0,4072.0,0.57,0.586,4.696,1
1,0.017424,20.5452375,2.41,742.0,5670.0,1.264,0.937,4.206,0
2,0.083298,33.60123371,8.46,495.0,5149.0,0.93,0.882,4.447,1
2,0.019382,6.76652928,1.97,845.0,5149.0,0.93,0.882,4.447,1
1,0.019273,4.347288783,2.36,1174.0,5754.0,1.122,1.014,4.345,1
2,0.02579,4.601811819,2.35,896.0,4986.0,0.833,0.793,4.496,1
2,0.017042,11.18719905,1.55,667.0,4986.0,0.833,0.793,4.496,1
1,0.046401,4.220965778,2.62,595.0,3837.0,0.517,0.544,4.747,1
1,6.502574,6.998099523,588.66,853.0,5612.0,0.829,0.926,4.566,0
3,0.033728,5.95489993,2.33,635.0,4261.0,0.633,0.64,4.641,1
3,0.031605,12.03987488,2.18,502.0,4261.0,0.633,0.64,4.641,1
3,0.020532,20.83762895,1.42,418.0,4261.0,0.633,0.64,4.641,1
1,0.242511,8.8111022,63.66,1399.0,6200.0,2.404,1.333,3.8,0
1,0.040151,23.58917143,3.16,487.0,4919.0,0.721,0.697,4.566,1
2,0.017836,6.481633073,2.54,1145.0,5945.0,1.302,1.009,4.213,1
2,0.033023,10.37168928,3.2,720.0,5121.0,0.888,0.822,4.457,1
2,0.018305,3.96996298,1.78,992.0,5121.0,0.888,0.822,4.457,1
1,0.025379,4.40841331,2.66,1139.0,6007.0,0.961,0.968,4.457,1
1,0.046289,7.9426176,4.68,878.0,5811.0,0.926,1.036,4.521,0
2,0.055361,226.8904775,4.53,236.0,5067.0,0.75,0.789,4.585,1
1,0.327759,1.956811408,21.58,1109.0,5209.0,0.603,0.602,4.657,0
3,0.048953,9.439459486,4.16,686.0,5097.0,0.779,0.891,4.597,1
1,0.020288,11.52306746,3.13,927.0,5644.0,1.411,1.053,4.162,1
