Kepler_OI_Name,Number_of_Planets,Planet_Radius_Earth,Equalibrium_Temp_K,Orbit_Period_Days,Star_Radius_Sun,Star_Temp_K,Star_Mass_Sun,Star_Surface_Gravity,Planet_Star_Radius_Ratio,Status
K00757.03,3,2.65,823.0,6.252962249,0.848,5031.0,0.801,4.485,0.028604,1
K00758.01,1,3.1,593.0,16.01308419,0.826,5015.0,0.785,4.499,0.034369,1
K00759.01,2,3.36,506.0,32.62876672,0.798,5586.0,0.844,4.56,0.03852,1
K00759.02,2,2.12,359.0,91.7732862,0.798,5586.0,0.844,4.56,0.02432,1
K00761.01,1,6.54,1222.0,2.701287801,0.91,5550.0,0.889,4.468,0.06584,0
K00762.01,1,2.1,1133.0,4.49876511,0.969,6075.0,1.048,4.486,0.019817,1
K00763.01,1,12.42,730.0,19.65120951,1.063,6074.0,1.014,4.391,0.106953,0
K00115.01,3,2.94,1093.0,5.412203927,1.087,5779.0,0.941,4.339,0.024775,1
K00764.01,1,5.5,516.0,41.43958662,1.046,5468.0,0.93,4.367,0.048175,1
K00765.01,1,2.52,790.0,8.35389523,0.787,5592.0,0.862,4.582,0.029305,1
K00766.01,1,4.43,1243.0,4.125543472,1.103,6174.0,1.162,4.417,0.036796,1
K00767.01,1,12.21,1219.0,2.816504904,0.955,5532.0,0.941,4.452,0.117059,1
K00768.01,1,7.34,430.0,33.93373447,0.705,5040.0,0.782,4.628,0.095386,0
K00786.01,1,1.89,1147.0,3.689920099,0.917,5880.0,1.01,4.518,0.018878,1
K00787.01,3,3.25,1104.0,4.431238488,1.015,5714.0,1.007,4.428,0.02933,1
K00787.02,3,3.95,806.0,11.37936986,1.015,5714.0,1.007,4.428,0.035628,1
K00788.01,1,3.07,489.0,26.39432897,0.763,5129.0,0.846,4.595,0.03681,1
K00116.01,4,2.64,785.0,13.57078281,1.012,5854.0,0.951,4.406,0.023908,1
K00115.02,3,1.79,997.0,7.12594387,1.087,5779.0,0.941,4.339,0.01512,1
K00774.01,1,15.03,967.0,7.442652004,0.956,6108.0,0.981,4.469,0.143936,0
K00775.01,3,2.0,433.0,16.38489988,0.615,4126.0,0.633,4.661,0.029758,1
K00775.02,3,2.16,553.0,7.8774163,0.615,4126.0,0.633,4.661,0.03209,1
K00775.03,3,1.99,332.0,36.4454001,0.615,4126.0,0.633,4.661,0.029681,1
K00776.01,1,6.02,1023.0,3.728732147,0.809,5497.0,0.907,4.577,0.068178,1
K00778.01,1,1.99,822.0,2.243380573,0.564,4149.0,0.578,4.698,0.032248,1
K00779.01,1,11.23,833.0,10.40599802,0.924,5746.0,0.77,4.393,0.111248,0
K00780.01,2,2.34,1070.0,2.337437946,0.765,5005.0,0.85,4.595,0.027998,1
K00781.01,1,2.65,396.0,11.59822233,0.473,3688.0,0.503,4.79,0.051287,1
K00782.01,1,5.31,1015.0,6.575315881,0.989,5992.0,0.927,4.415,0.049152,1
K00783.01,1,4.86,833.0,7.275040844,0.867,5485.0,0.986,4.556,0.051358,1
K00784.01,2,1.93,393.0,19.27153892,0.56,4077.0,0.576,4.702,0.031585,1
K00784.02,2,1.91,488.0,10.06524317,0.56,4077.0,0.576,4.702,0.031153,1
K00785.01,1,2.66,677.0,12.3935651,0.75,5557.0,0.832,4.603,0.032536,1
K00116.02,4,2.87,531.0,43.84439721,1.012,5854.0,0.951,4.406,0.025934,1
K00798.01,1,21.55,1032.0,3.341913228,0.811,5295.0,0.853,4.551,0.243351,0
K00799.01,1,32.43,1547.0,1.626630225,0.973,5735.0,0.889,4.41,0.305244,0
K00800.01,2,3.12,1420.0,2.711504086,1.076,6214.0,1.169,4.442,0.026533,1
K00800.02,2,3.32,1025.0,7.21203748,1.076,6214.0,1.169,4.442,0.028255,1
K00789.01,1,1.88,711.0,14.1798187,0.878,5799.0,0.975,4.539,0.019561,0
K00790.01,2,2.59,751.0,8.47237911,0.788,5354.0,0.884,4.587,0.030119,1
K00790.02,2,2.36,390.0,60.4189369,0.788,5354.0,0.884,4.587,0.027422,1
K00791.01,1,7.4,753.0,12.61190435,0.919,5795.0,0.992,4.508,0.073758,1
K00792.01,1,46.58,1920.0,1.433769925,1.339,6017.0,1.083,4.22,0.318591,0
K00793.01,1,28.59,876.0,10.31872301,1.06,5927.0,1.05,4.409,0.247006,0
K00794.01,1,2.06,1332.0,2.539183147,1.062,5519.0,0.921,4.35,0.017724,1
K00795.01,1,2.77,812.0,6.770300385,0.679,5653.0,0.767,4.656,0.037414,1
K00796.01,1,27.51,1836.0,0.444291966,0.636,5255.0,0.709,4.678,0.396105,0
K00812.02,4,1.96,361.0,20.06036336,0.493,3950.0,0.502,4.754,0.036455,1
K00812.03,4,1.83,273.0,46.1842039,0.493,3950.0,0.502,4.754,0.033974,1
K00116.04,4,1.31,649.0,23.9800854,1.012,5854.0,0.951,4.406,0.011879,1
K00812.04,4,1.2,494.0,7.82502168,0.493,3950.0,0.502,4.754,0.022312,1
K00813.01,1,7.34,1005.0,3.895936525,0.774,5557.0,0.866,4.592,0.08689,1
K00814.01,1,2.32,536.0,22.36646466,0.734,5395.0,0.821,4.615,0.028938,1
K00801.01,1,9.73,1579.0,1.625522174,1.106,5539.0,0.935,4.322,0.080543,1
K00803.01,1,17.47,838.0,7.544039,0.824,5657.0,0.919,4.567,0.194187,0
K00804.01,1,2.57,757.0,9.02930689,0.82,5349.0,0.824,4.526,0.028718,1
K00805.01,1,13.28,843.0,10.32803571,1.024,5627.0,0.874,4.359,0.118805,0
